workerid,proliferate.condition,frame,item,order,response,verb1,verb2,error
65,condition1,1,"The CEO's decision enabled the outcome, in fact it caused it.",1,5,enabled,caused,
65,condition1,8,"Diversification affected new monetary policies, in fact it enabled them.",2,4,affected,enabled,
65,condition1,6,"The sun affected the drying of the clothes, in fact it caused it.",3,6,affected,caused,
65,condition1,2,"The new technology enabled the change, in fact it affected it.",4,0,enabled,affected,
65,condition1,0,"The dry weather caused the wild fire, in fact it enabled it.",5,2,caused,enabled,
65,condition1,1,"The CEO's decision enabled the outcome, in fact it affected it.",7,0,enabled,affected,
65,condition1,7,"Metastasis affected cell growth, in fact it caused it.",8,1,affected,caused,
65,condition1,4,"The sunny weather caused the tree's growth, in fact it affected it.",9,0,caused,affected,
65,condition1,3,"The Sacklers' greed caused the opioid epidemic, in fact it enabled it.",10,0,caused,enabled,
65,condition1,9,"The algae buildup in the ocean caused the migration of certain species of fish, in fact it affected it.",11,1,caused,affected,
65,condition1,0,"The dry weather enabled the wild fire, in fact it caused it.",12,0,enabled,caused,
65,condition1,7,"Metastasis caused cell growth, in fact it affected it.",13,0,caused,affected,
65,condition1,0,"The dry weather caused the wild fire, in fact it affected it.",14,0,caused,affected,
65,condition1,5,"More stipends enabled the increase in student admissions, in fact they affected it.",16,0,enabled,affected,
65,condition1,1,"The CEO's decision caused the outcome, in fact it affected it.",17,0,caused,affected,
65,condition1,7,"Metastasis enabled cell growth, in fact it affected it.",18,0,enabled,affected,
65,condition1,3,"The Sacklers' greed affected the opioid epidemic, in fact it enabled it.",19,0,affected,enabled,
65,condition1,8,"Diversification caused new monetary policies, in fact it affected them.",20,0,caused,affected,
65,condition1,0,"The dry weather affected the wild fire, in fact it enabled it.",21,0,affected,enabled,
65,condition1,1,"The CEO's decision affected the outcome, in fact it enabled it.",23,0,affected,enabled,
65,condition1,9,"The algae buildup in the ocean enabled the migration of certain species of fish, in fact it affected it.",24,0,enabled,affected,
65,condition1,3,"The Sacklers' greed affected the opioid epidemic, in fact it caused it.",25,0,affected,caused,
65,condition1,0,"The dry weather affected the wild fire, in fact it caused it.",26,5,affected,caused,
65,condition1,2,"The new technology affected the change, in fact it enabled it.",27,1,affected,enabled,
65,condition1,1,"The CEO's decision caused the outcome, in fact it enabled it.",28,1,caused,enabled,
65,condition1,5,"More stipends affected the increase in student admissions, in fact they enabled it.",29,1,affected,enabled,
65,condition1,8,"Diversification affected new monetary policies, in fact it caused them.",30,0,affected,caused,
65,condition1,3,"The Sacklers' greed enabled the opioid epidemic, in fact it caused it.",31,4,enabled,caused,
65,condition1,5,"More stipends caused the increase in student admissions, in fact they affected it.",32,0,caused,affected,
65,condition1,9,"The algae buildup in the ocean affected the migration of certain species of fish, in fact it enabled it.",33,5,affected,enabled,
65,condition1,4,"The sunny weather affected the tree's growth, in fact it caused it.",34,0,affected,caused,
65,condition1,8,"Diversification enabled new monetary policies, in fact it caused them.",35,5,enabled,caused,
65,condition1,9,"The algae buildup in the ocean affected the migration of certain species of fish, in fact it caused it.",36,6,affected,caused,
65,condition1,1,"The CEO's decision affected the outcome, in fact it caused it.",37,6,affected,caused,
65,condition1,6,"The sun enabled the drying of the clothes, in fact it caused it.",38,6,enabled,caused,
65,condition1,4,"The sunny weather affected the tree's growth, in fact it enabled it.",39,0,affected,enabled,
65,condition1,4,"The sunny weather enabled the tree's growth, in fact it caused it.",40,5,enabled,caused,
65,condition1,6,"The sun caused the drying of the clothes, in fact it enabled it.",41,1,caused,enabled,
65,condition1,4,"The sunny weather enabled the tree's growth, in fact it affected it.",42,0,enabled,affected,
65,condition1,2,"The new technology caused the change, in fact it enabled it.",43,0,caused,enabled,
65,condition1,7,"Metastasis enabled cell growth, in fact it caused it.",44,6,enabled,caused,
65,condition1,0,"The dry weather enabled the wild fire, in fact it affected it.",45,0,enabled,affected,
65,condition1,9,"The algae buildup in the ocean caused the migration of certain species of fish, in fact it enabled it.",46,0,caused,enabled,
65,condition1,7,"Metastasis caused cell growth, in fact it enabled it.",47,0,caused,enabled,
65,condition1,2,"The new technology caused the change, in fact it affected it.",48,0,caused,affected,
65,condition1,8,"Diversification enabled new monetary policies, in fact it affected them.",49,0,enabled,affected,
65,condition1,6,"The sun enabled the drying of the clothes, in fact it affected it.",50,0,enabled,affected,
65,condition1,5,"More stipends caused the increase in student admissions, in fact they enabled it.",51,0,caused,enabled,
65,condition1,6,"The sun affected the drying of the clothes, in fact it enabled it.",52,0,affected,enabled,
65,condition1,6,"The sun caused the drying of the clothes, in fact it affected it.",53,0,caused,affected,
65,condition1,8,"Diversification caused new monetary policies, in fact it enabled them.",54,0,caused,enabled,
65,condition1,7,"Metastasis affected cell growth, in fact it enabled it.",55,0,affected,enabled,
65,condition1,4,"The sunny weather caused the tree's growth, in fact it enabled it.",56,5,caused,enabled,
65,condition1,2,"The new technology enabled the change, in fact it caused it.",58,0,enabled,caused,
65,condition1,9,"The algae buildup in the ocean enabled the migration of certain species of fish, in fact it caused it.",59,6,enabled,caused,
65,condition1,3,"The Sacklers' greed caused the opioid epidemic, in fact it affected it.",60,6,caused,affected,
65,condition1,2,"The new technology affected the change, in fact it caused it.",61,6,affected,caused,
65,condition1,5,"More stipends enabled the increase in student admissions, in fact they caused it.",63,6,enabled,caused,
65,condition1,5,"More stipends affected the increase in student admissions, in fact they caused it.",64,6,affected,caused,
65,condition1,3,"The Sacklers' greed enabled the opioid epidemic, in fact it affected it.",65,1,enabled,affected,
67,condition1,2,"The new technology caused the change, in fact it enabled it.",1,3,caused,enabled,
67,condition1,7,"Metastasis caused cell growth, in fact it affected it.",2,2,caused,affected,
67,condition1,4,"The sunny weather enabled the tree's growth, in fact it caused it.",3,2,enabled,caused,
67,condition1,5,"More stipends caused the increase in student admissions, in fact they affected it.",4,2,caused,affected,
67,condition1,2,"The new technology affected the change, in fact it enabled it.",5,2,affected,enabled,
67,condition1,6,"The sun enabled the drying of the clothes, in fact it caused it.",6,1,enabled,caused,
67,condition1,8,"Diversification enabled new monetary policies, in fact it affected them.",7,1,enabled,affected,
67,condition1,9,"The algae buildup in the ocean affected the migration of certain species of fish, in fact it enabled it.",8,1,affected,enabled,
67,condition1,8,"Diversification caused new monetary policies, in fact it affected them.",9,1,caused,affected,
67,condition1,4,"The sunny weather caused the tree's growth, in fact it enabled it.",11,1,caused,enabled,
67,condition1,1,"The CEO's decision caused the outcome, in fact it enabled it.",12,1,caused,enabled,
67,condition1,2,"The new technology caused the change, in fact it affected it.",13,1,caused,affected,
67,condition1,1,"The CEO's decision enabled the outcome, in fact it affected it.",14,1,enabled,affected,
67,condition1,3,"The Sacklers' greed affected the opioid epidemic, in fact it enabled it.",15,4,affected,enabled,
67,condition1,2,"The new technology affected the change, in fact it caused it.",16,1,affected,caused,
67,condition1,0,"The dry weather affected the wild fire, in fact it enabled it.",17,4,affected,enabled,
67,condition1,5,"More stipends enabled the increase in student admissions, in fact they affected it.",18,0,enabled,affected,
67,condition1,4,"The sunny weather affected the tree's growth, in fact it caused it.",19,1,affected,caused,
67,condition1,6,"The sun affected the drying of the clothes, in fact it caused it.",20,1,affected,caused,
67,condition1,7,"Metastasis affected cell growth, in fact it caused it.",21,3,affected,caused,
67,condition1,4,"The sunny weather caused the tree's growth, in fact it affected it.",23,1,caused,affected,
67,condition1,3,"The Sacklers' greed caused the opioid epidemic, in fact it enabled it.",24,3,caused,enabled,
67,condition1,4,"The sunny weather enabled the tree's growth, in fact it affected it.",26,1,enabled,affected,
67,condition1,2,"The new technology enabled the change, in fact it caused it.",27,1,enabled,caused,
67,condition1,1,"The CEO's decision caused the outcome, in fact it affected it.",28,1,caused,affected,
67,condition1,0,"The dry weather caused the wild fire, in fact it enabled it.",29,1,caused,enabled,
67,condition1,7,"Metastasis enabled cell growth, in fact it caused it.",30,1,enabled,caused,
67,condition1,1,"The CEO's decision affected the outcome, in fact it caused it.",31,1,affected,caused,
67,condition1,0,"The dry weather enabled the wild fire, in fact it affected it.",32,1,enabled,affected,
67,condition1,0,"The dry weather enabled the wild fire, in fact it caused it.",33,1,enabled,caused,
