workerid,proliferate.condition,frame,item,order,response,verb,error
21,condition1,0,The collapse of Lehman Brothers enabled the financial crisis.,0,4,enabled,
21,condition1,10,The striker deflecting the ball affected the goal.,1,1,affected,
21,condition1,15,Metastasis caused cell growth.,2,4,caused,
21,condition1,11,Turning off the life support caused the patient's death.,3,6,caused,
21,condition1,8,Janelle's working hard affected her success.,4,4,affected,
21,condition1,10,The striker deflecting the ball enabled the goal.,5,4,enabled,
21,condition1,15,Metastasis enabled cell growth.,6,3,enabled,
21,condition1,1,The dry weather affected the wild fire.,7,2,affected,
21,condition1,0,The collapse of Lehman Brothers caused the financial crisis.,8,4,caused,
21,condition1,1,The dry weather enabled the wild fire.,9,5,enabled,
21,condition1,2,The CEO's decision enabled the outcome.,10,6,enabled,
21,condition1,6,The sunny weather affected the tree's growth.,11,5,affected,
21,condition1,18,The algae buildup in the ocean affected the migration of certain species of fish.,13,5,affected,
21,condition1,9,The new traffic signs caused the decrease in fatalities.,14,6,caused,
21,condition1,18,The algae buildup in the ocean caused the migration of certain species of fish.,15,6,caused,
21,condition1,12,More stipends enabled the increase in student admissions.,16,3,enabled,
21,condition1,6,The sunny weather enabled the tree's growth.,17,4,enabled,
21,condition1,16,Diversification affected new monetary policies.,18,2,affected,
21,condition1,17,Erosion caused density loss.,19,6,caused,
21,condition1,7,The breaking of the dam affected the flood.,21,0,affected,
21,condition1,12,More stipends caused the increase in student admissions.,22,3,caused,
21,condition1,3,The new technology affected the change.,23,4,affected,
21,condition1,19,The construction at the intersection affected the traffic in the vicinity.,24,6,affected,
21,condition1,14,Deforestation enabled wildlife displacement.,25,4,enabled,
21,condition1,3,The new technology caused the change.,26,6,caused,
21,condition1,7,The breaking of the dam caused the flood.,28,6,caused,
21,condition1,2,The CEO's decision affected the outcome.,29,4,affected,
21,condition1,5,The Sacklers' greed enabled the opioid epidemic.,30,3,enabled,
21,condition1,7,The breaking of the dam enabled the flood.,31,1,enabled,
21,condition1,8,Janelle's working hard caused her success.,32,5,caused,
21,condition1,17,Erosion affected density loss.,34,4,affected,
21,condition1,8,Janelle's working hard enabled her success.,35,5,enabled,
21,condition1,11,Turning off the life support affected the patient's death.,37,0,affected,
21,condition1,19,The construction at the intersection caused the traffic in the vicinity.,38,4,caused,
21,condition1,4,The zoning restrictions enabled the housing shortage.,39,3,enabled,
21,condition1,2,The CEO's decision caused the outcome.,40,6,caused,
21,condition1,6,The sunny weather caused the tree's growth.,41,4,caused,
21,condition1,3,The new technology enabled the change.,42,6,enabled,
21,condition1,4,The zoning restrictions caused the housing shortage.,43,4,caused,
21,condition1,13,The sun caused the drying of the clothes.,44,5,caused,
21,condition1,9,The new traffic signs enabled the decrease in fatalities.,45,4,enabled,
21,condition1,9,The new traffic signs affected the decrease in fatalities.,46,2,affected,
21,condition1,0,The collapse of Lehman Brothers affected the financial crisis.,47,3,affected,
21,condition1,18,The algae buildup in the ocean enabled the migration of certain species of fish.,48,2,enabled,
21,condition1,13,The sun affected the drying of the clothes.,49,4,affected,
21,condition1,11,Turning off the life support enabled the patient's death.,50,6,enabled,
21,condition1,5,The Sacklers' greed affected the opioid epidemic.,52,3,affected,
21,condition1,14,Deforestation affected wildlife displacement.,53,2,affected,
21,condition1,10,The striker deflecting the ball caused the goal.,54,4,caused,
21,condition1,14,Deforestation caused wildlife displacement.,55,6,caused,
21,condition1,1,The dry weather caused the wild fire.,56,5,caused,
21,condition1,16,Diversification enabled new monetary policies.,57,3,enabled,
21,condition1,13,The sun enabled the drying of the clothes.,58,6,enabled,
21,condition1,5,The Sacklers' greed caused the opioid epidemic.,59,3,caused,
21,condition1,4,The zoning restrictions affected the housing shortage.,60,4,affected,
21,condition1,16,Diversification caused new monetary policies.,61,3,caused,
21,condition1,12,More stipends affected the increase in student admissions.,62,3,affected,
21,condition1,15,Metastasis affected cell growth.,63,5,affected,
21,condition1,17,Erosion enabled density loss.,64,4,enabled,
21,condition1,19,The construction at the intersection enabled the traffic in the vicinity.,65,2,enabled,
55,condition1,7,The breaking of the dam enabled the flood.,0,0,enabled,
55,condition1,5,The Sacklers' greed caused the opioid epidemic.,1,6,caused,
55,condition1,4,The zoning restrictions caused the housing shortage.,2,6,caused,
55,condition1,17,Erosion caused density loss.,3,6,caused,
55,condition1,14,Deforestation affected wildlife displacement.,4,5,affected,
55,condition1,7,The breaking of the dam affected the flood.,5,0,affected,
55,condition1,14,Deforestation caused wildlife displacement.,6,5,caused,
55,condition1,12,More stipends enabled the increase in student admissions.,7,3,enabled,
55,condition1,17,Erosion enabled density loss.,8,6,enabled,
55,condition1,13,The sun enabled the drying of the clothes.,9,4,enabled,
55,condition1,16,Diversification affected new monetary policies.,10,6,affected,
55,condition1,3,The new technology caused the change.,11,6,caused,
55,condition1,10,The striker deflecting the ball enabled the goal.,12,1,enabled,
55,condition1,4,The zoning restrictions enabled the housing shortage.,13,5,enabled,
55,condition1,19,The construction at the intersection affected the traffic in the vicinity.,14,6,affected,
55,condition1,0,The collapse of Lehman Brothers affected the financial crisis.,15,5,affected,
55,condition1,10,The striker deflecting the ball affected the goal.,16,6,affected,
55,condition1,8,Janelle's working hard affected her success.,17,0,affected,
55,condition1,10,The striker deflecting the ball caused the goal.,18,5,caused,
55,condition1,15,Metastasis enabled cell growth.,20,6,enabled,
55,condition1,0,The collapse of Lehman Brothers enabled the financial crisis.,21,6,enabled,
55,condition1,5,The Sacklers' greed enabled the opioid epidemic.,22,2,enabled,
55,condition1,16,Diversification caused new monetary policies.,23,5,caused,
55,condition1,12,More stipends caused the increase in student admissions.,24,6,caused,
55,condition1,13,The sun affected the drying of the clothes.,25,1,affected,
55,condition1,1,The dry weather enabled the wild fire.,27,6,enabled,
55,condition1,18,The algae buildup in the ocean caused the migration of certain species of fish.,28,6,caused,
55,condition1,6,The sunny weather enabled the tree's growth.,30,6,enabled,
