,Unnamed: 0,item_num,frame_num,verb1,verb2,item,trial_type
0,0,0,,caused,,The lightning strike caused the fire.,filler
1,1,1,,caused,,The crank caused him to open the window.,filler
2,2,2,,enabled,,Receiving the loan enabled her to buy the house.,filler
3,3,3,,enabled,,The cold breeze enabled him to close the window.,filler
4,4,4,,affected,,The distracting noise affected his performance.,filler
5,5,5,,affected,,The earthquake affected the building to fall.,filler
6,0,0,0.0,affected,enabled,"The dry weather affected the wild fire, but it didn't enable it.",main
7,1,1,0.0,affected,caused,"The dry weather affected the wild fire, but it didn't cause it.",main
8,2,2,0.0,enabled,affected,"The dry weather enabled the wild fire, but it didn't affect it.",main
9,3,3,0.0,enabled,caused,"The dry weather enabled the wild fire, but it didn't cause it.",main
10,4,4,0.0,caused,affected,"The dry weather caused the wild fire, but it didn't affect it.",main
11,5,5,0.0,caused,enabled,"The dry weather caused the wild fire, but it didn't enable it.",main
12,6,6,1.0,affected,enabled,"The CEO's decision affected the outcome, but it didn't enable it.",main
13,7,7,1.0,affected,caused,"The CEO's decision affected the outcome, but it didn't cause it.",main
14,8,8,1.0,enabled,affected,"The CEO's decision enabled the outcome, but it didn't affect it.",main
15,9,9,1.0,enabled,caused,"The CEO's decision enabled the outcome, but it didn't cause it.",main
16,10,10,1.0,caused,affected,"The CEO's decision caused the outcome, but it didn't affect it.",main
17,11,11,1.0,caused,enabled,"The CEO's decision caused the outcome, but it didn't enable it.",main
18,12,12,2.0,affected,enabled,"The new technology affected the change, but it didn't enable it.",main
19,13,13,2.0,affected,caused,"The new technology affected the change, but it didn't cause it.",main
20,14,14,2.0,enabled,affected,"The new technology enabled the change, but it didn't affect it.",main
21,15,15,2.0,enabled,caused,"The new technology enabled the change, but it didn't cause it.",main
22,16,16,2.0,caused,affected,"The new technology caused the change, but it didn't affect it.",main
23,17,17,2.0,caused,enabled,"The new technology caused the change, but it didn't enable it.",main
24,18,18,3.0,affected,enabled,"The Sacklers' greed affected the opioid epidemic, but it didn't enable it.",main
25,19,19,3.0,affected,caused,"The Sacklers' greed affected the opioid epidemic, but it didn't cause it.",main
26,20,20,3.0,enabled,affected,"The Sacklers' greed enabled the opioid epidemic, but it didn't affect it.",main
27,21,21,3.0,enabled,caused,"The Sacklers' greed enabled the opioid epidemic, but it didn't cause it.",main
28,22,22,3.0,caused,affected,"The Sacklers' greed caused the opioid epidemic, but it didn't affect it.",main
29,23,23,3.0,caused,enabled,"The Sacklers' greed caused the opioid epidemic, but it didn't enable it.",main
30,24,24,4.0,affected,enabled,"The sunny weather affected the tree's growth, but it didn't enable it.",main
31,25,25,4.0,affected,caused,"The sunny weather affected the tree's growth, but it didn't cause it.",main
32,26,26,4.0,enabled,affected,"The sunny weather enabled the tree's growth, but it didn't affect it.",main
33,27,27,4.0,enabled,caused,"The sunny weather enabled the tree's growth, but it didn't cause it.",main
34,28,28,4.0,caused,affected,"The sunny weather caused the tree's growth, but it didn't affect it.",main
35,29,29,4.0,caused,enabled,"The sunny weather caused the tree's growth, but it didn't enable it.",main
36,30,30,5.0,affected,enabled,"More stipends affected the increase in student admissions, but they didn't enable it.",main
37,31,31,5.0,affected,caused,"More stipends affected the increase in student admissions, but they didn't cause it.",main
38,32,32,5.0,enabled,affected,"More stipends enabled the increase in student admissions, but they didn't affect it.",main
39,33,33,5.0,enabled,caused,"More stipends enabled the increase in student admissions, but they didn't cause it.",main
40,34,34,5.0,caused,affected,"More stipends caused the increase in student admissions, but they didn't affect it.",main
41,35,35,5.0,caused,enabled,"More stipends caused the increase in student admissions, but they didn't enable it.",main
42,36,36,6.0,affected,enabled,"The sun affected the drying of the clothes, but it didn't enable it.",main
43,37,37,6.0,affected,caused,"The sun affected the drying of the clothes, but it didn't cause it.",main
44,38,38,6.0,enabled,affected,"The sun enabled the drying of the clothes, but it didn't affect it.",main
45,39,39,6.0,enabled,caused,"The sun enabled the drying of the clothes, but it didn't cause it.",main
46,40,40,6.0,caused,affected,"The sun caused the drying of the clothes, but it didn't affect it.",main
47,41,41,6.0,caused,enabled,"The sun caused the drying of the clothes, but it didn't enable it.",main
48,42,42,7.0,affected,enabled,"Metastasis affected cell growth, but it didn't enable it.",main
49,43,43,7.0,affected,caused,"Metastasis affected cell growth, but it didn't cause it.",main
50,44,44,7.0,enabled,affected,"Metastasis enabled cell growth, but it didn't affect it.",main
51,45,45,7.0,enabled,caused,"Metastasis enabled cell growth, but it didn't cause it.",main
52,46,46,7.0,caused,affected,"Metastasis caused cell growth, but it didn't affect it.",main
53,47,47,7.0,caused,enabled,"Metastasis caused cell growth, but it didn't enable it.",main
54,48,48,8.0,affected,enabled,"Diversification affected new monetary policies, but it didn't enable it.",main
55,49,49,8.0,affected,caused,"Diversification affected new monetary policies, but it didn't cause it.",main
56,50,50,8.0,enabled,affected,"Diversification enabled new monetary policies, but it didn't affect it.",main
57,51,51,8.0,enabled,caused,"Diversification enabled new monetary policies, but it didn't cause it.",main
58,52,52,8.0,caused,affected,"Diversification caused new monetary policies, but it didn't affect it.",main
59,53,53,8.0,caused,enabled,"Diversification caused new monetary policies, but it didn't enable it.",main
60,54,54,9.0,affected,enabled,"The algae buildup in the ocean affected the migration of certain species of fish, but it didn't enable it.",main
61,55,55,9.0,affected,caused,"The algae buildup in the ocean affected the migration of certain species of fish, but it didn't cause it.",main
62,56,56,9.0,enabled,affected,"The algae buildup in the ocean enabled the migration of certain species of fish, but it didn't affect it.",main
63,57,57,9.0,enabled,caused,"The algae buildup in the ocean enabled the migration of certain species of fish, but it didn't cause it.",main
64,58,58,9.0,caused,affected,"The algae buildup in the ocean caused the migration of certain species of fish, but it didn't affect it.",main
65,59,59,9.0,caused,enabled,"The algae buildup in the ocean caused the migration of certain species of fish, but it didn't enable it.",main
